Artist(s),Song Name,Spotify Link,Score
"Spiritual Cramp, White Reaper",Whatever You Say Man (feat. White Reaper),https://open.spotify.com/track/6S0qDB8PnXMyU5xhsYxcGI,0.5730873503571428
"Flwr Chyld, Grimm Lynn",Ms. Ebony Brown,https://open.spotify.com/track/4y4WjTFKiPDtFRCobVIC39,0.5691770637857143
"Ozuna, Bad Gyal",Guay,https://open.spotify.com/track/1S3SAFqLBWk3HaR5UyXp43,0.5685976217857143
"Dimitri Vegas & Like Mike, Regard, NATTI NATASHA, Sash!",To The Beat,https://open.spotify.com/track/4y9tKMhrx5uepqljKj7wq9,0.5635827932142857
"Kygo, Zak Abel, Nile Rodgers",For Life (feat. Nile Rodgers),https://open.spotify.com/track/4QfikoJtCEiOj7G5R9m3sP,0.5624664932142858
Michael Warren,Off the Map,https://open.spotify.com/track/4D6SOP98ZKMs0pg4WDyDGu,0.5619493503571428
Alfie Templeman,Hello Lonely,https://open.spotify.com/track/0qVkhLbM5Y3ef73wirigiQ,0.5609364932142856
Lucky Daye,HERicane,https://open.spotify.com/track/64fITmtln0OJqcxPf09vnY,0.5601736360714284
Anne Wilson,Songs About Whiskey,https://open.spotify.com/track/7crxg59CxoOqSxhHC7I6LY,0.5590093503571428
Russ,That's My Girl,https://open.spotify.com/track/2V0Vlkbb6fUEHl1gk8Lwr6,0.5527664932142856
"Brytiago, Anuel AA",Kilerito,https://open.spotify.com/track/3kGMgEDHQoWykByLL6Jut3,0.5526456360714286
Nxdia,Jennifer's Body,https://open.spotify.com/track/176fR2MtPlctufVYwqoW1j,0.5524807789285713
"Joe Goddard, Barrie",Moments Die,https://open.spotify.com/track/19DhgwtEahVgIKQmZNVs9Y,0.5432133495
"Nicky Jam, Trueno",Cangrinaje,https://open.spotify.com/track/5sJXSkZDAJjWrwtJHXLFTI,0.5429236360714286
Sex Week,Angel Blessings,https://open.spotify.com/track/2GMa39HCjyvuiYYFfipifp,0.5416522075
Debbii Dawson,Happy World,https://open.spotify.com/track/0kY86R5mW1Js0jymCs8Wfp,0.5414679217857142
"R3HAB, Jason Derulo",Animal,https://open.spotify.com/track/2ivDc5gzHTuDJKQaTgfsXo,0.5349950646428571
SadBoi,Baddies,https://open.spotify.com/track/72ZVTeHKV9Uzkk8qtYbkss,0.5337253217857143
Brainstory,Nobody But You,https://open.spotify.com/track/6Oao4bGYFGXppmlI0cjIiS,0.5325936360714285
"DJ Snake, Peso Pluma",Teka (with Peso Pluma),https://open.spotify.com/track/555maXFEF9m0lE4UGRzCHk,0.5269764932142856
"Gordo, Jeria",Fallin Luv,https://open.spotify.com/track/0TdwFKbgHrZY5zGciVm92c,0.4809513495
"Jamie xx, Honey Dijon",Baddy On The Floor,https://open.spotify.com/track/3CqaTHbiU2nBy3Ar9RnDHN,0.46681563521428565
"Yannis & The Yaw, Tony Allen, Yannis",Walk Through Fire,https://open.spotify.com/track/1Mdmg7rBIqT1FxAge95Xmx,0.4351342066428571
